Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
919.7692983150482	187	-2777.7307285768957	128.44994881079188	-2667.534583218664	-2995.875336745321	334.25	8.926785535678562	1337	233417
925.690187215805	188	-2637.8671747540848	112.3270764283694	-2483.974039658098	-2786.0446917482354	328.0	9.273618495495704	1312	234729
931.7694051265717	189	-2635.955867862537	59.76988001972083	-2574.991472595021	-2735.0346371737705	332.0	5.787918451395113	1328	236057
937.5646607875824	190	-2607.079631059936	260.6499947600743	-2268.209388982207	-2961.128059624691	329.0	18.371173070873837	1316	237373
942.080046415329	191	-2733.6783828502216	232.9809212400286	-2411.905940953585	-2955.940789894494	341.0	20.607442021431645	1023	238396
946.6816837787628	192	-2837.1753681815935	127.33645433005954	-2729.0033246522325	-3015.9448517647465	351.0	9.626352718795768	1053	239449
951.7087700366974	193	-2903.9692638542983	77.31950080876584	-2811.476589554378	-3000.725864403015	349.3333333333333	7.363574011458175	1048	240497
956.7483930587769	194	-2973.604457240885	150.0810437956436	-2810.8146479885163	-3172.944637579443	364.3333333333333	13.960261060914616	1093	241590
961.4162633419037	195	-2950.7094558651893	51.36707781361876	-2878.9366397886542	-2996.3098836171735	359.3333333333333	7.586537784494029	1078	242668
966.0068736076355	196	-2881.814722880445	188.5834556344402	-2733.0074395843058	-3147.889629816396	352.0	17.378147196982766	1056	243724
970.6879498958588	197	-2983.5011131129063	275.400181714429	-2612.3745659788597	-3271.3713006289927	377.6666666666667	21.044925490219462	1133	244857
975.3695209026337	198	-2998.3266296388847	309.0153630609992	-2653.471121854116	-3403.2232007400803	374.3333333333333	29.32954520994525	1123	245980
980.0189807415009	199	-2910.772668323951	158.82181040455941	-2700.9629721592064	-3085.1143203125794	361.6666666666667	15.15109090315135	1085	247065
984.7643134593964	200	-3032.4022964226847	208.795856742234	-2810.321655825782	-3311.97660882106	367.3333333333333	19.871811414385174	1102	248167
989.6361095905304	201	-2937.0785348856093	104.01844694430909	-2791.5806807864133	-3028.6034251982683	373.0	15.937377450509228	1119	249286
